scenario,total_cost,total_revenue,profit,stockout_rate,service_level,inventory_turnover
75000,446029,323027,-123002,0.688889,0.465898,185.365
75001,444264,311098,-133165,0.716667,0.461301,196.007
75002,455390,313769,-141621,0.688889,0.453251,205.219
75003,454399,302571,-151828,0.727778,0.429527,197.03
75004,438120,307800,-130320,0.688889,0.455652,185.406
75005,446589,282700,-163889,0.733333,0.409714,169.768
75006,455817,287900,-167917,0.711111,0.423215,165.779
75007,445336,314852,-130484,0.688889,0.457306,172.355
75008,443314,297700,-145614,0.727778,0.441433,169.199
75009,427911,306041,-121870,0.683333,0.454196,163.196
75010,422023,302100,-119923,0.694444,0.461819,163.676
75011,435538,317000,-118538,0.661111,0.471723,170.725
75012,450001,305492,-144509,0.694444,0.44441,177.026
75013,451099,317176,-133923,0.666667,0.462916,177.479
75014,442786,301300,-141486,0.7,0.445686,184.924
75015,444285,310001,-134284,0.688889,0.454339,200.978
75016,448953,300803,-148150,0.7,0.445029,193.068
75017,434532,297200,-137332,0.705556,0.442632,155.812
75018,449212,325700,-123512,0.677778,0.477075,190.466
75019,453357,301900,-151457,0.705556,0.437332,170.734
75020,450513,314485,-136028,0.683333,0.451184,195.213
75021,439069,312000,-127069,0.683333,0.459261,175.297
75022,454683,320309,-134374,0.694444,0.450255,213.909
75023,446269,315644,-130625,0.694444,0.464512,192.182
75024,447713,301800,-145913,0.694444,0.44254,153.274
75025,449274,344872,-104402,0.688889,0.492201,233.931
75026,432962,319718,-113244,0.683333,0.470608,186.493
75027,466077,309346,-156731,0.7,0.443797,182.742
75028,446682,310139,-136544,0.688889,0.4578,181.959
75029,459558,324111,-135447,0.7,0.45962,210.497
75030,444636,320019,-124617,0.705556,0.464353,177.076
75031,461096,295630,-165466,0.705556,0.428854,188.768
75032,454501,314410,-140091,0.711111,0.443297,206.336
75033,461702,317100,-144602,0.711111,0.446302,197.374
75034,439224,307989,-131235,0.705556,0.440743,205.859
75035,448318,315800,-132518,0.661111,0.464283,173.425
75036,454713,311365,-143347,0.694444,0.446505,185.344
75037,451820,306672,-145147,0.7,0.447435,187.878
75038,446465,326441,-120024,0.7,0.471164,179.179
75039,449412,301478,-147934,0.7,0.437513,192.897
75040,440117,302200,-137917,0.716667,0.442473,179.261
75041,442182,307600,-134582,0.688889,0.450921,176.342
75042,461326,310910,-150416,0.722222,0.445103,190.44
75043,443709,328754,-114955,0.677778,0.476845,210.023
75044,454134,305911,-148223,0.694444,0.435735,192.045
75045,455295,305412,-149883,0.705556,0.447643,181.531
75046,444046,306555,-137490,0.7,0.440291,176.299
75047,444303,321743,-122560,0.683333,0.473303,200.644
75048,448952,316549,-132403,0.7,0.458891,184.718
75049,452912,297202,-155710,0.744444,0.422066,219.023
75050,452446,301514,-150932,0.722222,0.438086,199.6
75051,449738,289465,-160273,0.727778,0.429908,183.32
75052,443390,316800,-126590,0.7,0.465234,166.701
75053,456996,311800,-145196,0.688889,0.449484,202.974
