scenario,total_cost,total_revenue,profit,stockout_rate,service_level,inventory_turnover
50000,448335,321358,-126977,0.705556,0.46289,197.467
50001,458408,303100,-155308,0.683333,0.43464,170.908
50002,468428,305240,-163188,0.694444,0.428894,185.075
50003,449540,320996,-128544,0.688889,0.474642,190.644
50004,444118,340400,-103718,0.661111,0.50324,177.943
50005,441231,302200,-139031,0.711111,0.445865,174.313
50006,449506,292117,-157388,0.711111,0.430919,170.394
50007,464589,292326,-172263,0.727778,0.41537,196.057
50008,444621,316284,-128336,0.688889,0.461451,174.404
50009,450521,326600,-123921,0.688889,0.465158,194.872
50010,459680,315191,-144489,0.705556,0.445639,203.656
50011,456278,306700,-149578,0.722222,0.435726,193.673
50012,467224,322700,-144524,0.716667,0.449965,182.986
50013,457233,317600,-139633,0.705556,0.44377,196.108
50014,437432,296767,-140666,0.705556,0.4448,175.205
50015,454420,326800,-127620,0.677778,0.464002,198.321
50016,463461,306160,-157301,0.711111,0.426941,211.558
50017,444871,304887,-139984,0.7,0.450835,183.124
50018,436148,311091,-125057,0.683333,0.45773,172.341
50019,454508,335484,-119025,0.677778,0.476459,198.343
50020,448683,329234,-119449,0.705556,0.473321,207.796
50021,456478,274000,-182478,0.711111,0.39428,155.999
50022,444023,343997,-100026,0.65,0.499309,180.52
50023,453185,328400,-124785,0.666667,0.473454,171.308
50024,445772,312340,-133432,0.7,0.45262,201.284
50025,451895,287038,-164857,0.738889,0.417766,199.009
50026,444685,318157,-126529,0.688889,0.468065,192.981
50027,469944,317200,-152744,0.677778,0.442598,188.264
50028,472363,281961,-190401,0.722222,0.400519,187.16
50029,439667,316800,-122867,0.705556,0.458945,195.881
50030,452178,321900,-130278,0.705556,0.454058,214.842
50031,455211,293100,-162111,0.738889,0.415806,192.572
50032,453892,331189,-122703,0.683333,0.472218,213.882
50033,453738,297489,-156249,0.711111,0.429747,179.69
50034,445990,331300,-114690,0.705556,0.473171,194.543
50035,454792,286478,-168314,0.688889,0.41999,174.063
50036,454724,322100,-132624,0.711111,0.462246,209.667
50037,439647,282563,-157084,0.711111,0.421015,163.948
50038,437260,311900,-125360,0.688889,0.460486,169.372
50039,444077,321343,-122733,0.688889,0.46847,192.453
50040,448785,330061,-118724,0.65,0.485664,173.538
50041,441222,313100,-128122,0.683333,0.456377,176.573
50042,449114,321000,-128114,0.672222,0.46585,178.761
50043,446783,330814,-115969,0.716667,0.481708,228.124
50044,450156,321600,-128556,0.683333,0.464437,182.074
50045,469894,306800,-163094,0.733333,0.429764,191.11
50046,450988,307300,-143688,0.705556,0.443714,192.61
50047,449303,335057,-114245,0.694444,0.486211,202.726
50048,446324,278200,-168124,0.727778,0.413,182.059
50049,443831,335800,-108031,0.688889,0.485505,192.369
50050,450454,305292,-145162,0.688889,0.45048,174.988
50051,447508,297400,-150108,0.722222,0.440835,158.014
50052,449208,297500,-151708,0.705556,0.429112,179.422
50053,447887,325544,-122343,0.688889,0.481496,201.001
50054,459249,301900,-157349,0.711111,0.441088,186.442
50055,467118,315795,-151323,0.705556,0.440984,207.338
50056,459307,317000,-142307,0.716667,0.454193,206.725
50057,453470,287144,-166327,0.722222,0.413074,195.174
50058,451927,321800,-130127,0.7,0.463581,192.589
50059,453525,335836,-117689,0.672222,0.485127,182.98
50060,456599,313000,-143599,0.7,0.443912,178.377
50061,456652,313510,-143142,0.666667,0.462385,194.752
50062,468526,334147,-134379,0.705556,0.463171,246.169
50063,455182,301944,-153237,0.705556,0.432837,201.425
50064,438717,311600,-127117,0.711111,0.45654,189.332
50065,458625,297250,-161375,0.744444,0.424696,211.437
50066,450355,314249,-136106,0.688889,0.462846,192.132
50067,452945,320549,-132396,0.683333,0.472803,202.932
50068,451300,330800,-120500,0.7,0.478691,196.728
50069,454543,310431,-144112,0.694444,0.446973,175.528
50070,436965,315383,-121582,0.672222,0.461747,184.798
50071,447460,330366,-117094,0.683333,0.482795,178.102
50072,438630,322960,-115670,0.677778,0.474666,199.921
50073,452612,312100,-140512,0.688889,0.445133,191.165
50074,450067,322300,-127767,0.694444,0.466034,166.425
50075,438876,300801,-138075,0.7,0.440661,159.582
50076,448434,312300,-136134,0.694444,0.453791,178.409
50077,431037,299437,-131600,0.683333,0.457105,165.818
50078,448499,297900,-150599,0.744444,0.431398,186.806
50079,442120,301700,-140420,0.711111,0.446532,169.698
50080,454900,298935,-155965,0.711111,0.435746,189.292
50081,458801,319154,-139647,0.733333,0.451849,245.066
50082,435934,305056,-130878,0.694444,0.442735,168.274
