scenario,total_cost,total_revenue,profit,stockout_rate,service_level,inventory_turnover
0,449312,316500,-132812,0.688889,0.47022,188.258
1,452234,303200,-149034,0.738889,0.432384,195.455
2,452604,316056,-136548,0.716667,0.457934,187.284
3,457338,305595,-151743,0.677778,0.441978,192.018
4,436681,319419,-117262,0.672222,0.474724,195.425
5,430016,307300,-122716,0.688889,0.454445,168.053
6,447567,319882,-127685,0.694444,0.464916,209.814
7,470536,290531,-180005,0.705556,0.420854,164.941
8,435634,290525,-145109,0.722222,0.429242,161.986
9,446620,328686,-117934,0.683333,0.480786,178.449
10,460007,291340,-168667,0.711111,0.422577,170.117
11,455296,305371,-149925,0.716667,0.44496,197.136
12,447876,314638,-133238,0.705556,0.449495,194.54
13,453520,309965,-143555,0.705556,0.449207,211.33
14,448425,318834,-129590,0.711111,0.461648,226.843
15,447095,327469,-119626,0.688889,0.474362,200.794
16,454694,289907,-164787,0.711111,0.422261,179.537
17,457361,319342,-138019,0.716667,0.448353,213.083
18,442875,325900,-116975,0.694444,0.469158,197.351
19,438085,336200,-101885,0.677778,0.494985,185.455
20,450119,308000,-142119,0.711111,0.439397,166.784
21,444853,316368,-128485,0.694444,0.461788,183.165
22,453484,311938,-141546,0.688889,0.456468,175.543
23,439234,330900,-108334,0.705556,0.484153,213.211
24,439529,318287,-121242,0.672222,0.465611,184.054
25,447268,321200,-126068,0.7,0.468503,197.997
26,446321,305550,-140771,0.683333,0.449002,177.12
27,447565,302800,-144765,0.716667,0.438862,180.126
28,444771,312100,-132671,0.694444,0.454751,176.44
29,459214,307163,-152052,0.716667,0.435724,200.113
30,459695,321800,-137895,0.716667,0.45297,206.627
31,442739,329006,-113734,0.666667,0.475116,193.951
32,468938,295641,-173298,0.733333,0.416663,194.641
33,458960,306938,-152022,0.733333,0.428263,203.423
34,454913,321500,-133413,0.705556,0.466653,192.723
35,442268,309606,-132662,0.683333,0.458924,177.856
36,464487,340400,-124087,0.705556,0.468809,226.379
37,450002,288500,-161502,0.7,0.420911,164.624
38,446049,323777,-122272,0.7,0.470217,213.092
39,445581,319308,-126273,0.694444,0.463585,193.913
40,462223,306700,-155523,0.705556,0.444276,190.865
41,442533,307600,-134933,0.694444,0.455819,179.306
42,464401,282596,-181805,0.727778,0.406937,181.894
43,433957,307934,-126022,0.683333,0.45863,177.629
44,446381,298925,-147456,0.7,0.437595,192.787
45,440511,308100,-132411,0.722222,0.450339,202.88
46,448126,333826,-114300,0.677778,0.488765,189.978
47,443263,324816,-118446,0.65,0.48284,168.093
48,462577,297400,-165177,0.744444,0.42009,218.348
49,449688,315221,-134466,0.688889,0.465467,175.112
50,450955,300409,-150547,0.688889,0.435689,177.447
51,454021,331058,-122963,0.694444,0.47854,208.901
52,453669,307500,-146169,0.705556,0.441746,187.622
53,444102,305013,-139090,0.7,0.450174,178.734
