scenario,total_cost,total_revenue,profit,stockout_rate,service_level,inventory_turnover
43548,470880,273299,-197581,0.738889,0.399467,172.408
43549,438240,319804,-118436,0.694444,0.471989,178.304
43550,448312,304995,-143317,0.711111,0.439222,188.991
43551,461985,316800,-145185,0.688889,0.44829,192.955
43552,448437,306700,-141737,0.694444,0.441575,168.178
43553,448884,325529,-123355,0.705556,0.466176,227.71
43554,457511,332764,-124747,0.677778,0.477111,212.059
43555,433472,317100,-116372,0.661111,0.463891,172.134
43556,455635,309957,-145678,0.7,0.45137,191.269
43557,450772,298239,-152533,0.683333,0.431585,165.197
43558,451852,310919,-140932,0.694444,0.451458,178.537
43559,449453,305078,-144375,0.705556,0.450773,180.194
43560,437327,324530,-112797,0.644444,0.481793,165.356
43561,450664,298009,-152655,0.7,0.431955,175.426
43562,447367,306700,-140667,0.722222,0.43881,218.116
43563,456260,306284,-149976,0.716667,0.431776,214.881
43564,450372,302000,-148372,0.711111,0.432953,168.133
43565,465772,314536,-151235,0.716667,0.444097,187.887
43566,463142,310057,-153085,0.738889,0.427696,223.84
43567,440956,309971,-130984,0.694444,0.458114,194.099
43568,442587,306502,-136085,0.733333,0.443945,203.663
43569,455416,328426,-126990,0.694444,0.474152,198.383
43570,449368,326938,-122431,0.644444,0.482874,188.021
43571,452325,294389,-157936,0.716667,0.436579,190.408
43572,448179,293400,-154779,0.722222,0.42095,175.884
43573,451769,325056,-126713,0.7,0.469246,207.929
43574,434951,287684,-147267,0.727778,0.431742,182.422
43575,433409,317897,-115511,0.694444,0.475684,189.787
43576,463491,316626,-146865,0.7,0.443304,224.504
43577,447321,329155,-118166,0.688889,0.478521,185.536
43578,453527,320725,-132802,0.7,0.465981,188.297
43579,440514,311708,-128806,0.7,0.455231,183.383
43580,451480,301900,-149580,0.705556,0.432963,187.814
43581,445144,313406,-131739,0.683333,0.458852,210.442
43582,441934,308903,-133032,0.672222,0.462082,161.272
43583,452971,297544,-155428,0.716667,0.421196,184.809
43584,456151,302900,-153251,0.716667,0.431414,198.421
43585,448444,297900,-150544,0.716667,0.433324,178.686
43586,448033,320825,-127207,0.688889,0.459168,194.526
43587,436500,321800,-114700,0.677778,0.472708,183.084
43588,444570,301800,-142770,0.711111,0.45107,172.79
43589,441482,265100,-176382,0.716667,0.391112,141.612
43590,445318,321000,-124318,0.688889,0.473718,188.381
43591,462949,306600,-156349,0.722222,0.435055,218.058
43592,443291,340600,-102691,0.677778,0.494457,204.618
43593,445228,301323,-143905,0.7,0.43727,173.949
43594,439946,308300,-131646,0.7,0.445753,174.777
43595,451593,324505,-127088,0.672222,0.468587,179.753
43596,444733,307500,-137233,0.7,0.457784,177.419
43597,439578,333508,-106070,0.661111,0.483554,195.469
43598,449221,306900,-142320,0.716667,0.442198,186.336
43599,453839,308200,-145639,0.711111,0.434545,187.023
43600,450161,292700,-157461,0.711111,0.423775,172.195
43601,457414,306800,-150614,0.722222,0.431155,228.782
43602,447897,346206,-101691,0.661111,0.492418,184.562
43603,446349,335246,-111103,0.705556,0.478648,202.378
43604,438592,305664,-132928,0.7,0.454581,170.522
43605,454625,290280,-164345,0.716667,0.415924,194.458
43606,451764,304468,-147296,0.733333,0.430666,212.14
43607,450842,335586,-115255,0.688889,0.472952,216.477
43608,457534,312255,-145279,0.694444,0.445083,198.419
43609,455176,279800,-175376,0.733333,0.395418,173.527
43610,441344,315615,-125729,0.677778,0.45985,182.009
43611,452061,310113,-141948,0.705556,0.450825,182.933
43612,455011,300708,-154304,0.711111,0.434239,188.097
43613,449726,322900,-126826,0.683333,0.461463,208.633
43614,459172,311772,-147400,0.705556,0.442266,209.672
43615,446340,313376,-132964,0.677778,0.460077,178.046
43616,451315,301416,-149899,0.733333,0.43005,218.16
43617,460338,330658,-129681,0.677778,0.46859,210.966
43618,444046,306200,-137846,0.694444,0.455216,193.91
43619,444570,331600,-112970,0.672222,0.483153,190.646
43620,447326,308292,-139034,0.694444,0.446651,189.17
43621,447074,325394,-121680,0.688889,0.474495,196.541
43622,449284,310839,-138445,0.688889,0.45687,176.304
43623,450966,344432,-106534,0.677778,0.491131,196.049
43624,445229,312300,-132929,0.711111,0.445702,203.057
43625,445551,302504,-143048,0.677778,0.448472,177.41
43626,457861,335036,-122825,0.661111,0.473504,214.975
43627,453959,304511,-149448,0.711111,0.437493,188.406
43628,470116,272700,-197416,0.722222,0.394135,152.124
43629,445099,308704,-136394,0.705556,0.455427,184.663
43630,450740,341859,-108882,0.683333,0.494042,228.331
43631,443805,310253,-133552,0.672222,0.46668,160.326
43632,437861,333737,-104124,0.683333,0.487407,197.153
43633,446278,331946,-114332,0.683333,0.495286,203.616
43634,447386,317800,-129586,0.677778,0.456327,180.432
43635,452272,296800,-155472,0.727778,0.435423,202.127
43636,448733,315190,-133543,0.7,0.450877,166.371
43637,452054,302200,-149854,0.705556,0.449374,168.541
43638,454656,297900,-156756,0.722222,0.428199,175.283
43639,455809,311000,-144809,0.705556,0.456757,194.46
43640,447792,319547,-128245,0.677778,0.465927,194.101
43641,461871,324778,-137093,0.711111,0.455235,227.163
43642,449092,316300,-132792,0.683333,0.455477,194.363
43643,442246,315653,-126592,0.683333,0.458816,178.104
